"Qubit,""T1 (us)"",""T2 (us)"",""Readout assignment error"",""Prob meas0 prep1"",""Prob meas1 prep0"",""Readout length (ns)"",""ID error"",""Single-qubit gate length (ns)"",""RX error"",""Z-axis rotation (rz) error"",""√x (sx) error"",""Pauli-X error"",""XSLOW error"",""CZ error"",""Gate length (ns)"",""RZZ error"",""MEASURE error"",""MEASURE_2 error"",""Operational""";;;;;;
"31,""176.68833940923236"",""162.58390446480308"",""0.0211181640625"",""0.034423828125"",""0.0078125"",""2280"",""0.00013231995796693176"",""32"",""0.00013231995796693176"",""0"",""0.00013231995796693176"",""0.00013231995796693176"",""0.00013231995796693176"",""30:0.0017808778753476695";32:0.0018689062554222702;"18:0.00296785067556421"",""30:68";32:68;"18:68"",""30:0.0020812505485583443";32:0.0020652900610338143;"18:0.0020033243548507607"",""0.0211181640625"",""0.104248046875"",""Yes"""
"32,""171.76466203202526"",""188.43746186495392"",""0.0216064453125"",""0.024169921875"",""0.01904296875"",""2280"",""0.00020524280656599917"",""32"",""0.00020524280656599917"",""0"",""0.00020524280656599917"",""0.00020524280656599917"",""0.00020524280656599917"",""31:0.0018689062554222702";"33:0.003714507102233755"",""31:68";"33:68"",""31:0.0020652900610338143";"33:0.0021477300300542512"",""0.0216064453125"",""0.011962890625"",""Yes""";;;
"33,""227.7576891619499"",""337.54117800530986"",""0.01171875"",""0.01611328125"",""0.00732421875"",""2280"",""0.00016644864980737339"",""32"",""0.00016644864980737339"",""0"",""0.00016644864980737339"",""0.00016644864980737339"",""0.00016644864980737339"",""39:0.0022043295447634614";32:0.003714507102233755;"34:0.0027823178589683195"",""39:68";32:68;"34:108"",""39:0.0018911047473325893";32:0.0021477300300542512;"34:0.0021343015326233117"",""0.01171875"",""0.010986328125"",""Yes"""
"34,""163.50756971935192"",""169.6294713208957"",""0.0262451171875"",""0.02880859375"",""0.023681640625"",""2280"",""0.00023848748854945662"",""32"",""0.00023848748854945662"",""0"",""0.00023848748854945662"",""0.00023848748854945662"",""0.00023848748854945662"",""33:0.0027823178589683195";"35:0.002090843885143301"",""33:108";"35:68"",""33:0.0021343015326233117";"35:0.001890621839303025"",""0.0262451171875"",""0.01708984375"",""Yes""";;;
"35,""160.6573975105657"",""165.48063816456846"",""0.0198974609375"",""0.028564453125"",""0.01123046875"",""2280"",""0.0001478194758855902"",""32"",""0.0001478194758855902"",""0"",""0.0001478194758855902"",""0.0001478194758855902"",""0.0001478194758855902"",""19:0.0013492879404421176";"34:0.002090843885143301"",""19:68";"34:68"",""19:0.0013796261912027985";"34:0.001890621839303025"",""0.0198974609375"",""0.024658203125"",""Yes""";;;
"36,""138.60782614250533"",""124.0272457760288"",""0.0128173828125"",""0.0146484375"",""0.010986328125"",""2280"",""0.0002445030030763982"",""32"",""0.0002445030030763982"",""0"",""0.0002445030030763982"",""0.0002445030030763982"",""0.0002445030030763982"",""41:0.0025720399323891086";"21:0.0018022109410544551"",""41:68";"21:68"",""41:0.0019216467036492768";"21:0.0012871122548729352"",""0.0128173828125"",""0.012939453125"",""Yes""";;;
"37,""103.17071704899305"",""29.25430399138495"",""0.008056640625"",""0.012451171875"",""0.003662109375"",""2280"",""0.00039043674518455705"",""32"",""0.00039043674518455705"",""0"",""0.00039043674518455705"",""0.00039043674518455705"",""0.00039043674518455705"",""45:0.007548842640345305";"25:0.006078960244780773"",""45:68";"25:68"",""45:0.005344624532466397";"25:0.005337703144451672"",""0.008056640625"",""0.007080078125"",""Yes""";;;
"38,""151.2189822805432"",""97.10863391303708"",""0.0115966796875"",""0.010986328125"",""0.01220703125"",""2280"",""0.00021484095287090747"",""32"",""0.00021484095287090747"",""0"",""0.00021484095287090747"",""0.00021484095287090747"",""0.00021484095287090747"",""29:0.010836408988313895";"49:0.0016579054233935575"",""29:68";"49:68"",""29:0.004284794272673004";"49:0.001602967654958598"",""0.0115966796875"",""0.046875"",""Yes""";;;
"39,""121.37778536085888"",""97.27507908728717"",""0.0118408203125"",""0.014404296875"",""0.00927734375"",""2280"",""0.00022696706720575158"",""32"",""0.00022696706720575158"",""0"",""0.00022696706720575158"",""0.00022696706720575158"",""0.00022696706720575158"",""53:0.0019728970668279333";"33:0.0022043295447634614"",""53:68";"33:68"",""53:0.0016764316387279654";"33:0.0018911047473325893"",""0.0118408203125"",""0.03662109375"",""Yes""";;;
"40,""199.05353752670345"",""47.46929767775942"",""0.0068359375"",""0.009033203125"",""0.004638671875"",""2280"",""0.00030557701762476316"",""32"",""0.00030557701762476316"",""0"",""0.00030557701762476316"",""0.00030557701762476316"",""0.00030557701762476316"",""41:0.002357638207335949"",""41:68"",""41:0.0024120385195894323"",""0.0068359375"",""0.029296875"",""Yes""";;;;;;
"41,""188.995745838471"",""42.28636432151072"",""0.011962890625"",""0.017822265625"",""0.006103515625"",""2280"",""0.00029616008553452554"",""32"",""0.00029616008553452554"",""0"",""0.00029616008553452554"",""0.00029616008553452554"",""0.00029616008553452554"",""40:0.002357638207335949";42:0.004867789590675853;"36:0.0025720399323891086"",""40:68";42:68;"36:68"",""40:0.0024120385195894323";42:0.002156156034039125;"36:0.0019216467036492768"",""0.011962890625"",""0.0087890625"",""Yes"""
"42,""176.04475557858922"",""78.76663722854612"",""0.009521484375"",""0.01318359375"",""0.005859375"",""2280"",""0.00023843814285405277"",""32"",""0.00023843814285405277"",""0"",""0.00023843814285405277"",""0.00023843814285405277"",""0.00023843814285405277"",""41:0.004867789590675853";"43:0.0026049550122299037"",""41:68";"43:68"",""41:0.002156156034039125";"43:0.002734047331395595"",""0.009521484375"",""0.064208984375"",""Yes""";;;
"43,""168.5482569694448"",""36.11478566872972"",""0.0118408203125"",""0.0185546875"",""0.005126953125"",""2280"",""0.0007209948370205093"",""32"",""0.0007209948370205093"",""0"",""0.0007209948370205093"",""0.0007209948370205093"",""0.0007209948370205093"",""42:0.0026049550122299037";56:0.0024940139842680453;"44:0.0020800848491475954"",""42:68";56:68;"44:68"",""42:0.002734047331395595";56:0.002874876000279525;"44:0.002347960692753337"",""0.0118408203125"",""0.016357421875"",""Yes"""
"44,""164.56582974539097"",""178.8432298619559"",""0.005126953125"",""0.0068359375"",""0.001220703125"",""2280"",""0.00017890660534522699"",""32"",""0.00017890660534522699"",""0"",""0.00017890660534522699"",""0.00017890660534522699"",""0.00017890660534522699"",""45:0.0016847210412841707";"43:0.0020800848491475954"",""45:68";"43:68"",""45:0.0017489075132944565";"43:0.002347960692753337"",""0.005126953125"",""0.006103515625"",""Yes""";;;
"45,""207.11235840352015"",""143.7635852283299"",""0.007080078125"",""0.007568359375"",""0.006591796875"",""2280"",""0.0002776135261665296"",""32"",""0.0002776135261665296"",""0"",""0.0002776135261665296"",""0.0002776135261665296"",""0.0002776135261665296"",""44:0.0016847210412841707";46:0.0015971010622848614;"37:0.007548842640345305"",""44:68";46:68;"37:68"",""44:0.0017489075132944565";46:0.001712935123857423;"37:0.005344624532466397"",""0.007080078125"",""0.011962890625"",""Yes"""
"46,""108.69493113470563"",""107.91906709886808"",""0.013427734375"",""0.0234375"",""0.00341796875"",""2280"",""0.00038819187349201805"",""32"",""0.00038819187349201805"",""0"",""0.00038819187349201805"",""0.00038819187349201805"",""0.00038819187349201805"",""45:0.0015971010622848614";"47:0.0018419987329720278"",""45:68";"47:68"",""45:0.001712935123857423";"47:0.002248867087763312"",""0.013427734375"",""0.009521484375"",""Yes""";;;
"47,""199.53347219803334"",""228.21926750098888"",""0.0087890625"",""0.01025390625"",""0.00732421875"",""2280"",""0.0005311770982436019"",""32"",""0.0005311770982436019"",""0"",""0.0005311770982436019"",""0.0005311770982436019"",""0.0005311770982436019"",""48:0.002607404729535079";57:0.0019491933240723958;"46:0.0018419987329720278"",""48:68";57:68;"46:68"",""48:0.002292162214436677";57:0.0018670721733782814;"46:0.002248867087763312"",""0.0087890625"",""0.00927734375"",""Yes"""
"48,""148.5092967815255"",""21.020478927093407"",""0.007568359375"",""0.01171875"",""0.00341796875"",""2280"",""0.00028737651823518767"",""32"",""0.00028737651823518767"",""0"",""0.00028737651823518767"",""0.00028737651823518767"",""0.00028737651823518767"",""47:0.002607404729535079";"49:0.0021683723902420904"",""47:68";"49:68"",""47:0.002292162214436677";"49:0.002246767083579765"",""0.007568359375"",""0.115966796875"",""Yes""";;;
